Artist,Location,lat,lon
Gorillaz,England,52.5310214,-1.2649062
half•alive,United States,39.7837304,-100.445882
Melanie Martinez,United States,39.7837304,-100.445882
girl in red,Norway,61.1529386,8.7876653
Conan Gray,United States,39.7837304,-100.445882
Taylor Swift,United States,39.7837304,-100.445882
Paris Paloma,United Kingdom,54.7023545,-3.2765753
Harry Styles,United States,39.7837304,-100.445882
Lana Del Rey,United States,39.7837304,-100.445882
The Neighbourhood,United Kingdom,54.7023545,-3.2765753
Mata,Bosnia and Herzegovina,44.3053476,17.5961467
Julia Michaels,United States,39.7837304,-100.445882
Mother Mother,Canada,61.0666922,-107.991707
Winona Oak,Sweden,59.6749712,14.5208584
Lauv,United States,39.7837304,-100.445882
Shawn Mendes,Canada,61.0666922,-107.991707
Måneskin,Italy,42.6384261,12.674297
Alec Benjamin,United Kingdom,54.7023545,-3.2765753
Wallows,Los Angeles,34.0536909,-118.242766
TV Girl,United States,39.7837304,-100.445882
Billie Eilish,United States,39.7837304,-100.445882
Olivia Rodrigo,United States,39.7837304,-100.445882
Eyedress,Philippines,12.7503486,122.7312101
Bo Burnham,United States,39.7837304,-100.445882
Arctic Monkeys,United Kingdom,54.7023545,-3.2765753
Mitski,United States,39.7837304,-100.445882
Lorde,New Zealand,-41.5000831,172.8344077
Cavetown,England,52.5310214,-1.2649062
Beach Bunny,United States,39.7837304,-100.445882
Sabrina Carpenter,United States,39.7837304,-100.445882
Dayglow,United States,39.7837304,-100.445882
Labrinth,United Kingdom,54.7023545,-3.2765753
Clairo,United States,39.7837304,-100.445882
Hozier,Ireland,52.865196,-7.9794599
Chivas,Poland,52.215933,19.134422
AURORA,Norway,61.1529386,8.7876653
ROLE MODEL,United States,39.7837304,-100.445882
Sir Chloe,United Kingdom,54.7023545,-3.2765753
MARINA,Wales,52.2928116,-3.73893
Florence + The Machine,England,52.5310214,-1.2649062
Zach Hood,United Kingdom,54.7023545,-3.2765753
Surf Curse,United States,39.7837304,-100.445882
awfultune,United States,39.7837304,-100.445882
Cage The Elephant,United States,39.7837304,-100.445882
Tom Odell,United Kingdom,54.7023545,-3.2765753
Aquilo,United Kingdom,54.7023545,-3.2765753
Noah Kahan,United States,39.7837304,-100.445882
Quebonafide,Poland,52.215933,19.134422
The Weeknd,Canada,61.0666922,-107.991707
Cigarettes After Sex,United States,39.7837304,-100.445882
THE ANXIETY,United Kingdom,54.7023545,-3.2765753
Penelope Scott,United States,39.7837304,-100.445882
Camélia Jordana,France,46.603354,1.8883335
James Arthur,United Kingdom,54.7023545,-3.2765753
Videoclub,France,46.603354,1.8883335
Tate McRae,Canada,61.0666922,-107.991707
Gracie Abrams,United States,39.7837304,-100.445882
Annaleigh Ashford,United States,39.7837304,-100.445882
Emei,United States,39.7837304,-100.445882
The Drums,United Kingdom,54.7023545,-3.2765753
WILLOW,United States,39.7837304,-100.445882
The Growlers,United Kingdom,54.7023545,-3.2765753
YUNGBLUD,United Kingdom,54.7023545,-3.2765753
Glass Animals,United Kingdom,54.7023545,-3.2765753
The 1975,United Kingdom,54.7023545,-3.2765753
Maisie Peters,United Kingdom,54.7023545,-3.2765753
Tame Impala,Australia,-24.7761086,134.755
FINNEAS,United States,39.7837304,-100.445882
Suki Waterhouse,United Kingdom,54.7023545,-3.2765753
Orla Gartland,Ireland,52.865196,-7.9794599
Sasha Alex Sloan,United States,39.7837304,-100.445882
Jaymes Young,Canada,61.0666922,-107.991707
The Front Bottoms,United States,39.7837304,-100.445882
SB Maffija,Warsaw,52.2333742,21.0711489
Kali Uchis,United States,39.7837304,-100.445882
PinkPantheress,England,52.5310214,-1.2649062
chloe moriondo,Michigan,43.6211955,-84.6824346
dodie,United Kingdom,54.7023545,-3.2765753
Andy Black,United Kingdom,54.7023545,-3.2765753
Selena Gomez,United States,39.7837304,-100.445882
Isak Danielson,Sweden,59.6749712,14.5208584
Queen,United Kingdom,54.7023545,-3.2765753
Vundabar,Boston,42.3588336,-71.0578303
Joy Again,United Kingdom,54.7023545,-3.2765753
The Lumineers,United Kingdom,54.7023545,-3.2765753
mxmtoon,United States,39.7837304,-100.445882
Jack Stauber,Pittsburgh,40.4406968,-80.0025666
Bakar,United Kingdom,54.7023545,-3.2765753
Mac DeMarco,Canada,61.0666922,-107.991707
Taco Hemingway,Warsaw,52.2333742,21.0711489
McCafferty,Ohio,40.2253569,-82.6881395
Antonio Vivaldi,Italy,42.6384261,12.674297
Bea Miller,United States,39.7837304,-100.445882
Reneé Rapp,United States,39.7837304,-100.445882
Grace Yurchuk,United States,39.7837304,-100.445882
Rachel Chinouriri,United Kingdom,54.7023545,-3.2765753
Lizzy McAlpine,Ireland,52.865196,-7.9794599
Hits Over Time,United States,39.7837304,-100.445882
Steve Lacy,United States,39.7837304,-100.445882
Kate Bush,England,52.5310214,-1.2649062
Current Joys,United States,39.7837304,-100.445882
Ricky Montgomery,United States,39.7837304,-100.445882
Grace VanderWaal,United States,39.7837304,-100.445882
Sara Kays,United States,39.7837304,-100.445882
Ben Platt,United States,39.7837304,-100.445882
Chase Atlantic,Australia,-24.7761086,134.755
TOY REMi,United Kingdom,54.7023545,-3.2765753
Joji,United States,39.7837304,-100.445882
ABBA,Sweden,59.6749712,14.5208584
Ashe,United States,39.7837304,-100.445882
Claire Rosinkranz,United States,39.7837304,-100.445882
Sobel,Poland,52.215933,19.134422
Stromae,Belgium,50.6402809,4.6667145
Stephen Sanchez,United States,39.7837304,-100.445882
Rainbow Kitten Surprise,North Carolina,35.6729639,-79.0392919
SIX,United States,39.7837304,-100.445882
Anitta,Brazil,-10.3333333,-53.2
Yot Club,United States,39.7837304,-100.445882
Charlotte Lawrence,Germany,51.1638175,10.4478313
BETWEEN FRIENDS,Los Angeles,34.0536909,-118.242766
Fish in a Birdcage,Canada,61.0666922,-107.991707
Halsey,United States,39.7837304,-100.445882
Jung Kook,South Korea,36.638392,127.6961188
beabadoobee,England,52.5310214,-1.2649062
Leslie Odom Jr.,United States,39.7837304,-100.445882
Artemas,United Kingdom,54.7023545,-3.2765753
The Oh Hellos,United States,39.7837304,-100.445882
BoyWithUke,United States,39.7837304,-100.445882
X Ambassadors,United States,39.7837304,-100.445882
Sky Ferreira,United States,39.7837304,-100.445882
The Last Dinner Party,London,51.5074456,-0.1277653
White 2115,Poland,52.215933,19.134422
The Smiths,United Kingdom,54.7023545,-3.2765753
Dua Lipa,United Kingdom,54.7023545,-3.2765753
Carrie Hope Fletcher,United Kingdom,54.7023545,-3.2765753
Waterparks,Houston,29.7589382,-95.3676974
5 Seconds of Summer,Australia,-24.7761086,134.755
Ludwig van Beethoven,Germany,51.1638175,10.4478313
Dean Lewis,United States,39.7837304,-100.445882
Pierre de Maere,Belgium,50.6402809,4.6667145
Nirvana,United States,39.7837304,-100.445882
late night drive home,El Paso,31.7601164,-106.4870404
Jeremy Zucker,United States,39.7837304,-100.445882
SKUTE BOBO,Switzerland,46.7985624,8.2319736
Nessa Barrett,United States,39.7837304,-100.445882
Teddy Hyde,United States,39.7837304,-100.445882
Why Don't We,United States,39.7837304,-100.445882
GIMS,France,46.603354,1.8883335
Declan McKenna,United Kingdom,54.7023545,-3.2765753
Dermot Kennedy,Ireland,52.865196,-7.9794599
Em Beihold,United States,39.7837304,-100.445882
Destroy Boys,United States,39.7837304,-100.445882
Lykke Li,Sweden,59.6749712,14.5208584
mgk,United States,39.7837304,-100.445882
BADBADNOTGOOD,Canada,61.0666922,-107.991707
BØRNS,United States,39.7837304,-100.445882
Blacha 2115,Poland,52.215933,19.134422
One Direction,England,52.5310214,-1.2649062
Surfaces,United States,39.7837304,-100.445882
Ruth B.,United States,39.7837304,-100.445882
AJ Mitchell,Canada,61.0666922,-107.991707
Tory Lanez,Canada,61.0666922,-107.991707
Seafret,United Kingdom,54.7023545,-3.2765753
Bruno Major,Italy,42.6384261,12.674297
Christian Leave,Germany,51.1638175,10.4478313
Dominic Fike,Florida,27.7567667,-81.4639835
Frah Quintale,Italy,42.6384261,12.674297
Roar,United States,39.7837304,-100.445882
Rio Romeo,Germany,51.1638175,10.4478313
Patrick Watson,United States,39.7837304,-100.445882
Justin Bieber,Canada,61.0666922,-107.991707
Troye Sivan,Australia,-24.7761086,134.755
Gregory Alan Isakov,Boulder,40.0149856,-105.270545
Alice et Moi,France,46.603354,1.8883335
The Walters,United Kingdom,54.7023545,-3.2765753
Lord Huron,United States,39.7837304,-100.445882
Nena,Germany,51.1638175,10.4478313
Harriette,United States,39.7837304,-100.445882
CRO,Germany,51.1638175,10.4478313
Clinton Kane,Australia,-24.7761086,134.755
Frédéric Chopin,Poland,52.215933,19.134422
Louane,France,46.603354,1.8883335
347aidan,Cambridge,52.2055314,0.1186637
Anson Seabra,United States,39.7837304,-100.445882
salvia palth,New Zealand,-41.5000831,172.8344077
Ed Sheeran,United Kingdom,54.7023545,-3.2765753
I DONT KNOW HOW BUT THEY FOUND ME,United States,39.7837304,-100.445882
Laura Bell Bundy,United States,39.7837304,-100.445882
James Bay,Germany,51.1638175,10.4478313
NF,United States,39.7837304,-100.445882
The Happy Fits,New Jersey,40.0757384,-74.4041622
Ryan McCartan,United States,39.7837304,-100.445882
Ben Howard,Germany,51.1638175,10.4478313
Ashnikko,United States,39.7837304,-100.445882
RY X,United States,39.7837304,-100.445882
Clio,Germany,51.1638175,10.4478313
Kinny Zimmer,United States,39.7837304,-100.445882
Sarah and the Sundays,Austin,30.2711286,-97.7436995
Froukje,Netherlands,52.2434979,5.6343227
Bad Bunny,Puerto Rico,18.2247706,-66.4858295
Doja Cat,United States,39.7837304,-100.445882
Nxdia,Cairo,30.0443879,31.2357257
Kanye West,United Kingdom,54.7023545,-3.2765753
Ariana Grande,United States,39.7837304,-100.445882
Pomme,France,46.603354,1.8883335
Jude York,Germany,51.1638175,10.4478313
Lin-Manuel Miranda,United States,39.7837304,-100.445882
Macha Ravel,France,46.603354,1.8883335
MGMT,United States,39.7837304,-100.445882
sanah,Poland,52.215933,19.134422
Madeline The Person,Houston,29.7589382,-95.3676974
Rachel Platten,United States,39.7837304,-100.445882
Vacations,Australia,-24.7761086,134.755
Tash Sultana,Melbourne,-37.8142454,144.9631732
The Backseat Lovers,United States,39.7837304,-100.445882
Ginger Root,Huntington Beach,33.6783336,-118.000016
Mac Miller,United Kingdom,54.7023545,-3.2765753
K.Flay,United States,39.7837304,-100.445882
Lil Peep,United States,39.7837304,-100.445882
ZAYN,England,52.5310214,-1.2649062
The Fratellis,United Kingdom,54.7023545,-3.2765753
Laufey,Iceland,64.9841821,-18.1059013
Dawid Podsiadło,Poland,52.215933,19.134422
XXXTENTACION,United States,39.7837304,-100.445882
Tally Hall,United States,39.7837304,-100.445882
Amélie Farren,Australia,-24.7761086,134.755
Daughter,United Kingdom,54.7023545,-3.2765753
Alex G,United States,39.7837304,-100.445882
Cuco,Mexico,23.6585116,-102.0077097
Angourie Rice,Australia,-24.7761086,134.755
Frank Ocean,United States,39.7837304,-100.445882
SALES,United States,39.7837304,-100.445882
Cults,United States,39.7837304,-100.445882
ARIETE,Roma,41.8933203,12.4829321
sombr,United States,39.7837304,-100.445882
Beach Weather,United States,39.7837304,-100.445882
Miley Cyrus,United States,39.7837304,-100.445882
Elley Duhé,United States,39.7837304,-100.445882
vaultboy,Jacksonville,30.3321838,-81.655651
Keaton Henson,United Kingdom,54.7023545,-3.2765753
Nicolas Michaux,Belgium,50.6402809,4.6667145
Franz Ferdinand,Austria,47.59397,14.12456
Giuseppe Verdi,Italy,42.6384261,12.674297
Andrew Garfield,United Kingdom,54.7023545,-3.2765753
Ruel,Australia,-24.7761086,134.755
Young Leosia,Canada,61.0666922,-107.991707
Novo Amor,United Kingdom,54.7023545,-3.2765753
Sonia Y Selena,Spain,39.3260685,-4.8379791
Izzamuzzic,Kazakhstan,48.1012954,66.7780818
Zeph,Maryland,39.5162401,-76.9382069
Ali Gatie,Canada,61.0666922,-107.991707
La Belle Vie,Troyes,48.2971626,4.0746257
Oliver Tree,United Kingdom,54.7023545,-3.2765753
Peach Pit,Canada,61.0666922,-107.991707
Two Feet,United States,39.7837304,-100.445882
ReTo,Poland,52.215933,19.134422
Vansire,Rochester,43.157285,-77.615214
Alfa,Genova,44.40726,8.9338624
Faye Webster,United States,39.7837304,-100.445882
Hodak,Poland,52.215933,19.134422
NEFFEX,Los Angeles,34.0536909,-118.242766
Matt Maltese,United Kingdom,54.7023545,-3.2765753
Angèle,Belgium,50.6402809,4.6667145
Two Door Cinema Club,Northern Ireland,54.5859836,-6.9591554
Emily Burns,United States,39.7837304,-100.445882
Kendrick Lamar,United States,39.7837304,-100.445882
Billy Raffoul,United States,39.7837304,-100.445882
The Regrettes,United Kingdom,54.7023545,-3.2765753
Young Igi,Canada,61.0666922,-107.991707
Carlie Hanson,United States,39.7837304,-100.445882
Lewis Capaldi,United Kingdom,54.7023545,-3.2765753
Jann,Canada,61.0666922,-107.991707
carolesdaughter,California,36.7014631,-118.755997
grentperez,Sydney,-33.8698439,151.2082848
Post Malone,United States,39.7837304,-100.445882
Clean Bandit,United Kingdom,54.7023545,-3.2765753
Pezet,Poland,52.215933,19.134422
Kodaline,Ireland,52.865196,-7.9794599
Lonely God,Spain,39.3260685,-4.8379791
Aerosmith,United States,39.7837304,-100.445882
Purple Disco Machine,Germany,51.1638175,10.4478313
Noah Cyrus,United States,39.7837304,-100.445882
Kaiser Chiefs,United Kingdom,54.7023545,-3.2765753
Wilbur Soot,England,52.5310214,-1.2649062
Claud,United States,39.7837304,-100.445882
Orfeh,United States,39.7837304,-100.445882
Friday Pilots Club,United States,39.7837304,-100.445882
01099,Dresden,51.0493286,13.7381437
My Chemical Romance,United States,39.7837304,-100.445882
Rkomi,Italy,42.6384261,12.674297
Michael Bublé,Canada,61.0666922,-107.991707
Alessia Cara,Canada,61.0666922,-107.991707
Renée Elise Goldsberry,United States,39.7837304,-100.445882
Jorge Rivera-Herrans,Dorado,18.4317317,-66.2796684
Styleto,France,46.603354,1.8883335
George Ezra,United Kingdom,54.7023545,-3.2765753
"Tyler, The Creator",United States,39.7837304,-100.445882
Talking Heads,United States,39.7837304,-100.445882
ella jane,United States,39.7837304,-100.445882
Ghost,Sweden,59.6749712,14.5208584
bülow,Canada,61.0666922,-107.991707
015B,South Korea,36.638392,127.6961188
gnash,United States,39.7837304,-100.445882
Jack Stauber's Micropop,Pittsburgh,40.4406968,-80.0025666
Will Joseph Cook,United Kingdom,54.7023545,-3.2765753
Isaac Dunbar,United States,39.7837304,-100.445882
EDEN,Ireland,52.865196,-7.9794599
Myslovitz,Poland,52.215933,19.134422
Frankie Cosmos,United States,39.7837304,-100.445882
Stephen Sondheim,United States,39.7837304,-100.445882
Smolasty,Poland,52.215933,19.134422
Lola Flores,Spain,39.3260685,-4.8379791
Alexander Rybak,Norway,61.1529386,8.7876653
Babeheaven,United Kingdom,54.7023545,-3.2765753
Amy Winehouse,United Kingdom,54.7023545,-3.2765753
JVKE,United States,39.7837304,-100.445882
Wolfgang Amadeus Mozart,Austria,47.59397,14.12456
Boys Go To Jupiter,United States,39.7837304,-100.445882
UPSAHL,United States,39.7837304,-100.445882
Camille Saint-Saëns,France,46.603354,1.8883335
Lola Young,Canada,61.0666922,-107.991707
SOFIA ISELLA,Queensland,-22.1646782,144.5844903
Oscar Anton,Canada,61.0666922,-107.991707
Mad Tsai,Los Angeles,34.0536909,-118.242766
Bad Suns,United States,39.7837304,-100.445882
Sophie May,Germany,51.1638175,10.4478313
Emma Watson,United States,39.7837304,-100.445882
Bruses,Mexico,23.6585116,-102.0077097
Franz Liszt,Hungary,47.1817585,19.5060937
Kesha,United States,39.7837304,-100.445882
Fitz and The Tantrums,United States,39.7837304,-100.445882
Bastille,United Kingdom,54.7023545,-3.2765753
IGNACY,Poland,52.215933,19.134422
Sleeping At Last,United States,39.7837304,-100.445882
Billie Marten,United States,39.7837304,-100.445882
Teriyaki Boyz,Japan,36.5748441,139.2394179
Duncan Laurence,Netherlands,52.2434979,5.6343227
Maggie Lindemann,United States,39.7837304,-100.445882
Dotan,Netherlands,52.2434979,5.6343227
Bon Iver,United States,39.7837304,-100.445882
bôa,South Korea,36.638392,127.6961188
GRLwood,Louisville,38.2542376,-85.759407
Sody,United Kingdom,54.7023545,-3.2765753
Zolita,United States,39.7837304,-100.445882
P!nk,United States,39.7837304,-100.445882
Emma Louise,Australia,-24.7761086,134.755
blackbear,United States,39.7837304,-100.445882
Ludovico Einaudi,Italy,42.6384261,12.674297
Charlie Puth,United States,39.7837304,-100.445882
Sebastian Yatra,Germany,51.1638175,10.4478313
ANOTR,Amsterdam,52.3730796,4.8924534
Greyson Chance,United States,39.7837304,-100.445882
Cosmo Sheldrake,United Kingdom,54.7023545,-3.2765753
IC3PEAK,Russia,64.6863136,97.7453061
COIN,Nashville,36.1622767,-86.7742984
Ralph Castelli,United Kingdom,54.7023545,-3.2765753
Amber Run,United Kingdom,54.7023545,-3.2765753
Otsochodzi,Poland,52.215933,19.134422
The Story So Far,United Kingdom,54.7023545,-3.2765753
Vanessa Paradis,France,46.603354,1.8883335
Cheese People,United States,39.7837304,-100.445882
Ruben,Panama,8.843273,-79.7053673
HARRY WAS HERE,United States,39.7837304,-100.445882
Ava Max,United States,39.7837304,-100.445882
Jesse®,United States,39.7837304,-100.445882
Qry,Jasło,49.7469627,21.493576
Heuss L'enfoiré,France,46.603354,1.8883335
Vance Joy,Australia,-24.7761086,134.755
Baby Queen,United Kingdom,54.7023545,-3.2765753
John Travolta,United States,39.7837304,-100.445882
Palaye Royale,United States,39.7837304,-100.445882
Courtney Govan,United Kingdom,54.7023545,-3.2765753
Men I Trust,Canada,61.0666922,-107.991707
Mélodie Lauret,France,46.603354,1.8883335
Beth McCarthy,United States,39.7837304,-100.445882
Roe Kapara,United States,39.7837304,-100.445882
The Academic,United Kingdom,54.7023545,-3.2765753
Eminem,United States,39.7837304,-100.445882
Lola Le Lann,France,46.603354,1.8883335
Alexander 23,Austria,47.59397,14.12456
MICO,Banff,51.175076,-115.5720773
TACONAFIDE,Warsaw,52.2333742,21.0711489
Call Me Karizma,Minneapolis,44.9772995,-93.2654692
Soap&Skin,Austria,47.59397,14.12456
Sports,Germany,51.1638175,10.4478313
almost monday,United States,39.7837304,-100.445882
Maya Hawke,United States,39.7837304,-100.445882
Alex Warren,United Kingdom,54.7023545,-3.2765753
Szpaku,Poland,52.215933,19.134422
24kGoldn,United States,39.7837304,-100.445882
The Wombats,United Kingdom,54.7023545,-3.2765753
Jordan Suaste,United States,39.7837304,-100.445882
George Salazar,United Kingdom,54.7023545,-3.2765753
Foster The People,United States,39.7837304,-100.445882
Brye,Chicago,41.8755616,-87.6244212
Therapie TAXI,Paris,48.8588897,2.320041
Dr. Dog,United States,39.7837304,-100.445882
Farruko,Puerto Rico,18.2247706,-66.4858295
Rick James,Germany,51.1638175,10.4478313
Montell Fish,United States,39.7837304,-100.445882
Quinn XCII,United States,39.7837304,-100.445882
Monsieur Periné,Bogotá,4.6533817,-74.0836331
Kubi Producent,Poland,52.215933,19.134422
Chris Brown,United States,39.7837304,-100.445882
Ezra Williams,United States,39.7837304,-100.445882
Alice Phoebe Lou,Berlin,52.5173885,13.3951309
Bosse,Germany,51.1638175,10.4478313
Freddie Dredd,Canada,61.0666922,-107.991707
Thundercat,United States,39.7837304,-100.445882
King Princess,United States,39.7837304,-100.445882
Fréro Delavega,France,46.603354,1.8883335
Valley,Canada,61.0666922,-107.991707
Auli'i Cravalho,United States,39.7837304,-100.445882
Udo Lindenberg,Germany,51.1638175,10.4478313
Beach House,United States,39.7837304,-100.445882
Lostboycrow,Los Angeles,34.0536909,-118.242766
Meryl Streep,United States,39.7837304,-100.445882
THE DRIVER ERA,United States,39.7837304,-100.445882
Still Woozy,United States,39.7837304,-100.445882
Lincoln,United States,39.7837304,-100.445882
Saint Motel,France,46.603354,1.8883335
Johann Sebastian Bach,Germany,51.1638175,10.4478313
Jonathan Richman,United States,39.7837304,-100.445882
PRO8L3M,Poland,52.215933,19.134422
quinnie,New Jersey,40.0757384,-74.4041622
Leanna Firestone,Cookeville,36.1623886,-85.4997057
Joanna Wang,United States,39.7837304,-100.445882
Peter McPoland,Austria,47.59397,14.12456
Keith David,England,52.5310214,-1.2649062
Coldplay,United Kingdom,54.7023545,-3.2765753
Germaine Franco,United States,39.7837304,-100.445882
