Artist,Location,lat,lon
"Tyler, The Creator",United States,39.7837304,-100.445882
Estelle,United Kingdom,54.7023545,-3.2765753
PinkPantheress,England,52.5310214,-1.2649062
Travis Scott,United States,39.7837304,-100.445882
Casey Veggies,United States,39.7837304,-100.445882
Kendrick Lamar,United States,39.7837304,-100.445882
Quebonafide,Poland,52.215933,19.134422
Black Eyed Peas,United States,39.7837304,-100.445882
Jerry Lee Lewis,United States,39.7837304,-100.445882
Ray Charles,United States,39.7837304,-100.445882
Little Richard,United States,39.7837304,-100.445882
Elvis Presley,United States,39.7837304,-100.445882
Chuck Berry,United States,39.7837304,-100.445882
Chubby Checker,Malvern,52.1159559,-2.3258985
Danny & The Juniors,United States,39.7837304,-100.445882
Eddie Cochran,United States,39.7837304,-100.445882
The Swinging Blue Jeans,United Kingdom,54.7023545,-3.2765753
Gene Vincent,United States,39.7837304,-100.445882
Bill Haley & His Comets,United States,39.7837304,-100.445882
The Big Bopper,Texas,31.2638905,-98.5456116
Sabrina Carpenter,United States,39.7837304,-100.445882
Metro Boomin,United States,39.7837304,-100.445882
The Weeknd,Canada,61.0666922,-107.991707
A$AP Rocky,United States,39.7837304,-100.445882
Swedish House Mafia,Sweden,59.6749712,14.5208584
Playboi Carti,United States,39.7837304,-100.445882
The Kid LAROI,Australia,-24.7761086,134.755
Kanye West,United Kingdom,54.7023545,-3.2765753
JAY-Z,United States,39.7837304,-100.445882
Offset,United States,39.7837304,-100.445882
JID,United States,39.7837304,-100.445882
SZA,United States,39.7837304,-100.445882
Baby Keem,United States,39.7837304,-100.445882
21 Savage,United States,39.7837304,-100.445882
Lil Uzi Vert,United States,39.7837304,-100.445882
Sheck Wes,United States,39.7837304,-100.445882
Tate McRae,Canada,61.0666922,-107.991707
Charli xcx,England,52.5310214,-1.2649062
Dua Lipa,United Kingdom,54.7023545,-3.2765753
sombr,United States,39.7837304,-100.445882
AVA,United States,39.7837304,-100.445882
ANNA,Germany,51.1638175,10.4478313
Bonus RPK,Warsaw,52.2333742,21.0711489
Terror Jr,United States,39.7837304,-100.445882
Ramones,United States,39.7837304,-100.445882
Rich Amiri,Boston,42.3588336,-71.0578303
Don Toliver,United States,39.7837304,-100.445882
Lithe,Melbourne,-37.8142454,144.9631732
DC The Don,Chino Hills,33.9926803,-117.760056
¥$,United States,39.7837304,-100.445882
Ye,United States,39.7837304,-100.445882
Addison Rae,United States,39.7837304,-100.445882
Billie Eilish,United States,39.7837304,-100.445882
Madison Beer,United States,39.7837304,-100.445882
Kesha,United States,39.7837304,-100.445882
Britney Spears,United States,39.7837304,-100.445882
Tyla,United Kingdom,54.7023545,-3.2765753
Ken Carson,United Kingdom,54.7023545,-3.2765753
Gracie Abrams,United States,39.7837304,-100.445882
Camila Cabello,United States,39.7837304,-100.445882
Ewa Farna,Czechia,49.7439047,15.3381061
Taylor Swift,United States,39.7837304,-100.445882
JVKE,United States,39.7837304,-100.445882
Bruno Mars,United States,39.7837304,-100.445882
Olivia Rodrigo,United States,39.7837304,-100.445882
Rihanna,United States,39.7837304,-100.445882
Tiësto,Netherlands,52.2434979,5.6343227
Troye Sivan,Australia,-24.7761086,134.755
Doja Cat,United States,39.7837304,-100.445882
Ariana Grande,United States,39.7837304,-100.445882
Future,United States,39.7837304,-100.445882
Trippie Redd,United States,39.7837304,-100.445882
Fred again..,United Kingdom,54.7023545,-3.2765753
Oki,Utrecht,52.0907006,5.1215634
club2020,Poland,52.215933,19.134422
Otsochodzi,Poland,52.215933,19.134422
TACONAFIDE,Warsaw,52.2333742,21.0711489
schafter,Poland,52.215933,19.134422
Sobel,Poland,52.215933,19.134422
Mata,Bosnia and Herzegovina,44.3053476,17.5961467
Young Igi,Canada,61.0666922,-107.991707
Kizo,Poland,52.215933,19.134422
Chivas,Poland,52.215933,19.134422
MIÜ,Germany,51.1638175,10.4478313
Young Leosia,Canada,61.0666922,-107.991707
Kacperczyk,Poland,52.215933,19.134422
Taco Hemingway,Warsaw,52.2333742,21.0711489
Szpaku,Poland,52.215933,19.134422
Hubert.,France,46.603354,1.8883335
bambi,Argentina,-34.9964963,-64.9672817
Żabson,Poland,52.215933,19.134422
Guzior,Poland,52.215933,19.134422
Kaz Bałagane,Poland,52.215933,19.134422
Bungee,Uruguay,-32.8755548,-56.0201525
MODELKI,Poland,52.215933,19.134422
2115,Poland,52.215933,19.134422
Pezet,Poland,52.215933,19.134422
Disco Lines,United States,39.7837304,-100.445882
The Cure,United Kingdom,54.7023545,-3.2765753
Mac Miller,United Kingdom,54.7023545,-3.2765753
wifiskeleton,United States,39.7837304,-100.445882
Michael Jackson,United States,39.7837304,-100.445882
Tame Impala,Australia,-24.7761086,134.755
Kali Uchis,United States,39.7837304,-100.445882
French Montana,United States,39.7837304,-100.445882
Drake,Canada,61.0666922,-107.991707
Gorillaz,England,52.5310214,-1.2649062
J. Cole,United Kingdom,54.7023545,-3.2765753
Hotel Ugly,United States,39.7837304,-100.445882
Labrinth,United Kingdom,54.7023545,-3.2765753
Childish Gambino,United States,39.7837304,-100.445882
Frank Ocean,United States,39.7837304,-100.445882
The Neighbourhood,United Kingdom,54.7023545,-3.2765753
Beach Weather,United States,39.7837304,-100.445882
Skee-Lo,Los Angeles,34.0536909,-118.242766
d4vd,United States,39.7837304,-100.445882
Outkast,United States,39.7837304,-100.445882
Pitbull,United States,39.7837304,-100.445882
Beyoncé,United States,39.7837304,-100.445882
Gesaffelstein,France,46.603354,1.8883335
Maroon 5,United States,39.7837304,-100.445882
USHER,United States,39.7837304,-100.445882
Tory Lanez,Canada,61.0666922,-107.991707
Dave,United States,39.7837304,-100.445882
Lady Gaga,United States,39.7837304,-100.445882
Zara Larsson,Sweden,59.6749712,14.5208584
Eminem,United States,39.7837304,-100.445882
Cardi B,United States,39.7837304,-100.445882
Nelly Furtado,Canada,61.0666922,-107.991707
Chase Atlantic,Australia,-24.7761086,134.755
RAYE,United Kingdom,54.7023545,-3.2765753
Artemas,United Kingdom,54.7023545,-3.2765753
Elley Duhé,United States,39.7837304,-100.445882
G-Eazy,United States,39.7837304,-100.445882
NIKOŚ,New Zealand,-41.5000831,172.8344077
bbno$,Canada,61.0666922,-107.991707
ian,United Kingdom,54.7023545,-3.2765753
BigXthaPlug,Dallas,32.7762719,-96.7968559
Yeat,United States,39.7837304,-100.445882
Fukaj,Szczecin,53.4301818,14.5509623
BSK,Neuwied,50.4302393,7.466302
Deemz,Poland,52.215933,19.134422
PRO8L3M,Poland,52.215933,19.134422
Bedoes 2115,Poland,52.215933,19.134422
po prostu Kajtek,Poland,52.215933,19.134422
Roxie,Poland,52.215933,19.134422
Malik Montana,Poland,52.215933,19.134422
Kinny Zimmer,United States,39.7837304,-100.445882
Young Multi,Canada,61.0666922,-107.991707
Fast Life Sharky,Poland,52.215933,19.134422
Jacuś,Poland,52.215933,19.134422
fun.,Italy,42.6384261,12.674297
Portugal. The Man,United States,39.7837304,-100.445882
Macklemore & Ryan Lewis,United States,39.7837304,-100.445882
Elle King,United States,39.7837304,-100.445882
John Newman,United States,39.7837304,-100.445882
Gotye,Australia,-24.7761086,134.755
Hozier,Ireland,52.865196,-7.9794599
Coldplay,United Kingdom,54.7023545,-3.2765753
Green Day,United States,39.7837304,-100.445882
Flo Rida,United States,39.7837304,-100.445882
Icona Pop,Sweden,59.6749712,14.5208584
Foster The People,United States,39.7837304,-100.445882
Lorde,New Zealand,-41.5000831,172.8344077
Clean Bandit,United Kingdom,54.7023545,-3.2765753
Calvin Harris,Scotland,56.7861112,-4.1140518
Kings of Leon,United States,39.7837304,-100.445882
Myslovitz,Poland,52.215933,19.134422
Lady Pank,Poland,52.215933,19.134422
Happysad,Poland,52.215933,19.134422
Elektryczne Gitary,Poland,52.215933,19.134422
Wilki,Poland,52.215933,19.134422
Marek Grechuta,Poland,52.215933,19.134422
Vance Joy,Australia,-24.7761086,134.755
The Goo Goo Dolls,United States,39.7837304,-100.445882
Red Hot Chili Peppers,United States,39.7837304,-100.445882
MARINA,Wales,52.2928116,-3.73893
Muse,United Kingdom,54.7023545,-3.2765753
Brent Faiyaz,United States,39.7837304,-100.445882
Jay Rock,United States,39.7837304,-100.445882
King Geedorah,United States,39.7837304,-100.445882
Aaron May,United States,39.7837304,-100.445882
GoldLink,United States,39.7837304,-100.445882
Isaiah Rashad,United States,39.7837304,-100.445882
Westside Gunn,Buffalo,42.8864163,-78.8781493
Steve Lacy,United States,39.7837304,-100.445882
